código,distrito,inscritos,votos,% votos,mandatos,eleitores por mandato
10000,Aveiro,651367,384346,59.01,16,40710.4375
20000,Beja,135739,74882,55.17,3,45246.333333333336
30000,Braga,775167,485460,62.63,19,40798.26315789474
40000,Bragança,153945,75628,49.13,3,51315.0
50000,Castelo Branco,191043,110118,57.64,4,47760.75
60000,Coimbra,395231,226833,57.39,9,43914.555555555555
70000,Évora,145929,86102,59.0,3,48643.0
80000,Faro,360564,201179,55.8,9,40062.666666666664
90000,Guarda,172396,92869,53.87,4,43099.0
100000,Leiria,425014,248642,58.5,10,42501.4
110000,Lisboa,1880814,1169598,62.19,47,40017.31914893617
120000,Portalegre,106444,61598,57.87,2,53222.0
130000,Porto,1570611,993006,63.22,39,40272.07692307692
140000,Santarém,402597,237332,58.95,10,40259.7
150000,Setúbal,712133,421387,59.17,17,41890.17647058824
160000,Viana do Castelo,257155,134902,52.46,6,42859.166666666664
170000,Vila Real,235558,119549,50.75,5,47111.6
180000,Viseu,379142,202754,53.48,9,42126.88888888889
300000,Madeira,255928,139003,54.31,6,42654.666666666664
400000,Açores,222247,90347,40.65,5,44449.4
810000,Europa,75053,17939,23.9,2,37526.5
820000,Fora da Europa,120056,15120,12.59,2,60028.0
