distrito,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_perdidos,%votos_perdidos_cc
Lisboa,1160550.0,48.0,40.0,39000.0,16441.0,3.360475636551635,1.4166558959114213
Porto,966488.0,40.0,33.0,56524.0,6825.0,5.848391288872702,0.7061650015313176
Setúbal,425364.0,18.0,15.0,27485.0,6408.0,6.461524717653586,1.5064744548198719
Braga,484423.0,19.0,16.0,54445.0,3080.0,11.239144301571148,0.6358079612239717
Vila Real,103304.0,5.0,4.0,17680.0,568.0,17.114535739177573,0.5498335011228994
Aveiro,356598.0,16.0,13.0,61646.0,3834.0,17.287253433838664,1.0751602644995204
Bragança,64359.0,3.0,2.0,11384.0,209.0,17.688279805466212,0.3247409064777265
Santarém,213348.0,9.0,8.0,41035.0,1454.0,19.233833923917732,0.6815156457993513
Leiria,229287.0,10.0,8.0,44338.0,2295.0,19.337337049200347,1.0009289667534575
Guarda,75177.0,3.0,3.0,14716.0,437.0,19.575136012344203,0.5812948109129122
Viseu,180393.0,8.0,7.0,35863.0,1311.0,19.880483167306934,0.7267466032495717
Açores,81118.0,5.0,4.0,16573.0,1164.0,20.430730540693805,1.4349466209719175
Faro,190539.0,9.0,8.0,41340.0,2501.0,21.6963456300285,1.312592172731042
V. Castelo,124216.0,6.0,4.0,27367.0,783.0,22.031783345140724,0.6303535776389515
C. Branco,93478.0,4.0,3.0,21619.0,920.0,23.127366867070325,0.984188793085004
Coimbra,209638.0,9.0,7.0,49610.0,1684.0,23.664602791478643,0.8032894799606941
Madeira,124007.0,6.0,5.0,33369.0,11160.0,26.908964816502294,8.999491964163314
F. Europa,62484.0,2.0,2.0,19160.0,2875.0,30.66384994558607,4.601177901542795
Évora,77540.0,3.0,2.0,25945.0,334.0,33.46014960020634,0.43074542171782304
Beja,66124.0,3.0,2.0,24149.0,792.0,36.52077914221765,1.197749682414857
Portalegre,52455.0,2.0,2.0,27184.0,496.0,51.8234677342484,0.9455723953865218
Europa,75862.0,2.0,2.0,39793.0,2816.0,52.45445677677889,3.712003374548522
