partido,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_nao_convertidos,%votos_nao_convertidos_cc,votos_por_deputado,votos_por_deputado_cc
POUS,4320.0,0.0,0.0,4320.0,4320.0,100.0,100.0,inf,inf
PTP,4789.0,0.0,0.0,4789.0,4789.0,100.0,100.0,inf,inf
CH,8533.0,0.0,0.0,8533.0,8533.0,100.0,100.0,inf,inf
PNR,11628.0,0.0,0.0,11628.0,11628.0,100.0,100.0,inf,inf
PPM,15090.0,0.0,0.0,15090.0,15090.0,100.0,100.0,inf,inf
MPT,15547.0,0.0,0.0,15547.0,15547.0,100.0,100.0,inf,inf
MMS,16616.0,0.0,0.0,16616.0,16616.0,100.0,100.0,inf,inf
PND,21476.0,0.0,0.0,21476.0,21476.0,100.0,100.0,inf,inf
MEP,25475.0,0.0,1.0,25475.0,0.0,100.0,0.0,inf,25475.0
MRPP,52784.0,0.0,2.0,52784.0,0.0,100.0,0.0,inf,26392.0
B.E.,558062.0,16.0,23.0,98558.0,0.0,17.660761707480532,0.0,34878.875,24263.565217391304
PCP-PEV,446994.0,15.0,19.0,101019.0,0.0,22.59963220982832,0.0,29799.6,23526.0
CDS-PP,592997.0,21.0,25.0,71271.0,0.0,12.01877918438036,0.0,28237.95238095238,23719.88
PS,2077695.0,97.0,89.0,1916.0,0.0,0.0922175776521578,0.0,21419.536082474227,23344.887640449437
PPD/PSD,1654777.0,81.0,71.0,12056.0,0.0,0.7285573826563941,0.0,20429.345679012345,23306.718309859156
